CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,Number of Sites Reporting Min-Max,Number of Sites Reporting Z-score,Year,Month,Day,Day of Week
122,122,2022-02-06,91,2,4,26-163-0015,6,1.0000000000000002,2.1179124026462404,2022,2,6,6
74,74,2022-01-28,37,0,6,19-113-0040,1,0.0,-0.7549132547660471,2022,1,28,4
383,383,2022-05-27,13,0,4,13-115-0003,1,0.0,-0.7549132547660471,2022,5,27,4
250,250,2022-01-19,46,0,4,48-479-0313,1,0.0,-0.7549132547660471,2022,1,19,2
141,140,2022-06-05,10,0,3,32-007-0005,1,0.0,-0.7549132547660471,2022,6,5,6
129,129,2022-02-19,41,0,2,08-067-7003,2,0.2,-0.18034812328358962,2022,2,19,5
288,288,2022-01-01,30,0,2,18-091-0005,2,0.2,-0.18034812328358962,2022,1,1,5
132,132,2022-08-21,19,0,4,48-323-0004,1,0.0,-0.7549132547660471,2022,8,21,6
292,292,2022-09-20,27,0,6,38-101-0003,1,0.0,-0.7549132547660471,2022,9,20,1
347,347,2022-02-20,30,0,4,55-043-0009,1,0.0,-0.7549132547660471,2022,2,20,6
358,358,2022-06-28,15,0,4,41-013-0100,1,0.0,-0.7549132547660471,2022,6,28,1
202,202,2022-02-23,33,0,4,12-017-0006,1,0.0,-0.7549132547660471,2022,2,23,2
74,74,2022-04-17,,0,2,19-113-0033,2,0.2,-0.18034812328358962,2022,4,17,6
325,325,2022-08-26,54,2,2,40-109-1037,6,1.0000000000000002,2.1179124026462404,2022,8,26,4
456,456,2022-04-13,36,0,2,48-423-0007,1,0.0,-0.7549132547660471,2022,4,13,2
166,166,2022-05-06,43,0,2,06-019-4001,5,0.8,1.5433472711637828,2022,5,6,4
42,42,2022-02-27,28,0,4,50-003-0004,1,0.0,-0.7549132547660471,2022,2,27,6
259,259,2022-06-13,46,0,2,39-003-0009,1,0.0,-0.7549132547660471,2022,6,13,0
348,348,2022-06-27,48,0,2,16-005-0015,2,0.2,-0.18034812328358962,2022,6,27,0
68,69,2022-05-25,34,0,2,12-071-0005,2,0.2,-0.18034812328358962,2022,5,25,2
419,424,2022-03-03,37,0,4,21-199-0003,1,0.0,-0.7549132547660471,2022,3,3,3
